trip_name,trip_link,status,hsh
Day Trip to Nature Trails (Guided Private Sightseeing Experience from Bangalore),https://www.tripadvisor.com/AttractionProductReview-g297628-d21195308-Day_Trip_to_Nature_Trails_Guided_Private_Sightseeing_Experience_from_Bangalore-Ben.html,PENDING,6d14ccf0d545090643ec9723dcbad53a
Day Trip to Nandi Hills (Guided Private Sightseeing Experience from Bangalore),https://www.tripadvisor.com/AttractionProductReview-g297628-d21195228-Day_Trip_to_Nandi_Hills_Guided_Private_Sightseeing_Experience_from_Bangalore-Benga.html,PENDING,df73e0347e1f9cd5496133311f901063
Bangalore to Namdroling Monastery Full Day Excursion,https://www.tripadvisor.com/AttractionProductReview-g297628-d20823769-Bangalore_to_Namdroling_Monastery_Full_Day_Excursion-Bengaluru_Bangalore_District_.html,PENDING,851e575ec234c3f8ff6a21b2b820b4ad
THE SILK ROUTE TALES - Story of Silk in South India,https://www.tripadvisor.com/AttractionProductReview-g297628-d19083087-THE_SILK_ROUTE_TALES_Story_of_Silk_in_South_India-Bengaluru_Bangalore_District_Kar.html,PENDING,f7124d75642bc4ead2d9d18a330b248f
Day Excursion To Chitradurga Fort From Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d15090342-Day_Excursion_To_Chitradurga_Fort_From_Bangalore-Bengaluru_Bangalore_District_Karn.html,PENDING,0f4c1df568e527f44cf7629fdcf6ca69
Excursion to visit Lepakshi Temple & Nandi Hills from Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d19775449-Excursion_to_visit_Lepakshi_Temple_Nandi_Hills_from_Bangalore-Bengaluru_Bangalore_.html,PENDING,bb334270479726d0dc763b60e5290a85
Day Excursion To Chitradurga Fort From Bangalore With Lunch,https://www.tripadvisor.com/AttractionProductReview-g297628-d15090340-Day_Excursion_To_Chitradurga_Fort_From_Bangalore_With_Lunch-Bengaluru_Bangalore_Di.html,PENDING,75a2480139c593af0f557547b30ccbdc
Half Day Cultural tour of Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d12578222-Half_Day_Cultural_tour_of_Bangalore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,0a499b864369a4a2213757f42b0ee9ff
Best of the Bangalore (Guided Full Day Sightseeing Tour with Food Tasting),https://www.tripadvisor.com/AttractionProductReview-g297628-d20098719-Best_of_the_Bangalore_Guided_Full_Day_Sightseeing_Tour_with_Food_Tasting-Bengaluru.html,PENDING,e4f1b44f111b98700516177bc27b2608
Excursion to visit Nandi Hills from Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d19779137-Excursion_to_visit_Nandi_Hills_from_Bangalore-Bengaluru_Bangalore_District_Karnata.html,PENDING,130efe1dff885e1836fdfb61d936ce8e
Day Excursion To Lepakshi From Bangalore With Lunch,https://www.tripadvisor.com/AttractionProductReview-g297628-d15097738-Day_Excursion_To_Lepakshi_From_Bangalore_With_Lunch-Bengaluru_Bangalore_District_K.html,PENDING,7a8417bfa3f0307e7c5d6b8d47b01025
Day Trip to Mysore (Guided Private Sightseeing Experience from Bangalore),https://www.tripadvisor.com/AttractionProductReview-g297628-d21197155-Day_Trip_to_Mysore_Guided_Private_Sightseeing_Experience_from_Bangalore-Bengaluru_.html,PENDING,de98e1b289f028a73a36160d4d2b3d69
Day Excursion To Lepakshi From Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d15097732-Day_Excursion_To_Lepakshi_From_Bangalore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,39e0ac5d1729263f90a1b06f4b7c9bcd
Ancient Temple Day Tour Bangalore to Kanchipuram by Car,https://www.tripadvisor.com/AttractionProductReview-g297628-d20270078-Ancient_Temple_Day_Tour_Bangalore_to_Kanchipuram_by_Car-Bengaluru_Bangalore_Distri.html,PENDING,bcdebb966afc182af0144c90d4f4fe19
Touristic Highlights of Bangalore (Guided Sightseeing Tour with Food Tasting),https://www.tripadvisor.com/AttractionProductReview-g297628-d17515999-Touristic_Highlights_of_Bangalore_Guided_Sightseeing_Tour_with_Food_Tasting-Bengal.html,PENDING,39d31cb07877fdb855d86149e0d64d3b
Private Tour: Palaces Of Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d15693746-Private_Tour_Palaces_Of_Bangalore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,09d43974a8d8bfc6111109cba4b95175
"1 Day Trip to Taj Mahal, Agra from Bangalore with Return Flights all inclusive",https://www.tripadvisor.com/AttractionProductReview-g297628-d19762063-1_Day_Trip_to_Taj_Mahal_Agra_from_Bangalore_with_Return_Flights_all_inclusive-Beng.html,PENDING,8761f9f4e1209a41ca46a800b9595570
Heritage Trip to Lepakshi,https://www.tripadvisor.com/AttractionProductReview-g297628-d21190222-Heritage_Trip_to_Lepakshi-Bengaluru_Bangalore_District_Karnataka.html,PENDING,01715807b70c4a44f0aed117b8d0da59
Taj Mahal Tour from Banglore,https://www.tripadvisor.com/AttractionProductReview-g297628-d16796674-Taj_Mahal_Tour_from_Banglore-Bengaluru_Bangalore_District_Karnataka.html,PENDING,178f63bb546dec045445fbadb7cf6ece
Day Trip To Agra From Bangalore With Air Tickets,https://www.tripadvisor.com/AttractionProductReview-g297628-d15883444-Day_Trip_To_Agra_From_Bangalore_With_Air_Tickets-Bengaluru_Bangalore_District_Karn.html,PENDING,81f3c4fb47f80c0cfb762315a8512570
Private Day Tour of Tajmahal and Agra from Banglore With Flight,https://www.tripadvisor.com/AttractionProductReview-g297628-d20482988-Private_Day_Tour_of_Tajmahal_and_Agra_from_Banglore_With_Flight-Bengaluru_Bangalor.html,PENDING,405337c17c2a18dbf66d1777fe5baeba
Day Trip To Agra From Bangalore With Air Tickets,https://www.tripadvisor.com/AttractionProductReview-g297628-d16641221-Day_Trip_To_Agra_From_Bangalore_With_Air_Tickets-Bengaluru_Bangalore_District_Karn.html,PENDING,5308bf7a035523f68f3f1679c13726d5
Full day tour of Mysore and Srirangapatna from Bangalore,https://www.tripadvisor.com/AttractionProductReview-g297628-d17681872-Full_day_tour_of_Mysore_and_Srirangapatna_from_Bangalore-Bengaluru_Bangalore_Distr.html,PENDING,ba13d0bd25a33bc889476af6d428cc9d
Day Excursion To Shravanabelagola With Lunch,https://www.tripadvisor.com/AttractionProductReview-g297628-d15097734-Day_Excursion_To_Shravanabelagola_With_Lunch-Bengaluru_Bangalore_District_Karnatak.html,PENDING,1682a0fc8ad2b2f058bf9512c34304ab
Private Tour: Bangalore City Tour Including Bangalore Palace and Vidhana Soudha,https://www.tripadvisor.com/AttractionProductReview-g297628-d11452866-Private_Tour_Bangalore_City_Tour_Including_Bangalore_Palace_and_Vidhana_Soudha-Ben.html,PENDING,0938c9db2fb95b6443306936d3051afa
Somnathpur and Talakadu Day Trip from Bangalore - A Guided Private Tour,https://www.tripadvisor.com/AttractionProductReview-g297628-d19368806-Somnathpur_and_Talakadu_Day_Trip_from_Bangalore_A_Guided_Private_Tour-Bengaluru_Ba.html,PENDING,bc654afb53895c9a3bda93ece05bd217
